iter	Passed	Remaining
0	135	271045
1	137	137180
2	138	92434
3	140	70273
4	142	56908
5	145	48202
6	147	42131
7	150	37379
8	151	33603
9	153	30589
10	155	28114
11	157	26107
12	159	24340
13	161	22932
14	163	21601
15	164	20419
16	166	19383
17	167	18479
18	169	17658
19	171	16952
20	173	16310
21	175	15742
22	177	15237
23	178	14716
24	180	14236
25	181	13801
26	183	13403
27	184	13025
28	186	12696
29	188	12394
30	191	12153
31	193	11916
32	195	11652
33	197	11403
34	199	11172
35	200	10957
36	202	10752
37	204	10555
38	206	10396
39	209	10253
40	210	10078
41	212	9925
42	214	9769
43	216	9627
44	218	9501
45	221	9389
46	223	9271
47	225	9183
48	228	9106
49	232	9069
50	235	8999
51	237	8896
52	239	8792
53	241	8687
54	242	8587
55	244	8493
56	247	8449
57	249	8361
58	251	8270
59	253	8184
60	255	8106
61	256	8027
62	259	7971
63	261	7901
64	263	7846
65	265	7774
66	267	7714
67	269	7650
68	270	7583
69	275	7590
70	277	7535
71	280	7509
72	282	7454
73	284	7401
74	286	7357
75	288	7307
76	290	7255
77	292	7203
78	294	7169
79	296	7123
80	298	7076
81	300	7031
82	302	6982
83	304	6937
84	306	6910
85	308	6866
86	312	6867
87	314	6826
88	315	6783
89	317	6741
90	319	6700
91	321	6660
92	322	6622
93	324	6584
94	327	6572
95	329	6539
96	331	6502
97	333	6468
98	335	6434
99	336	6402
100	338	6372
101	341	6363
102	344	6337
103	346	6309
104	348	6297
105	350	6269
106	353	6255
107	355	6233
108	359	6242
109	362	6230
110	365	6212
111	366	6180
112	368	6150
113	370	6125
114	373	6119
115	375	6106
116	378	6087
117	380	6072
118	383	6060
119	386	6062
120	391	6078
121	393	6055
122	395	6033
123	397	6010
124	399	5988
125	401	5969
126	403	5946
127	407	5957
128	486	7057
129	515	7409
130	540	7708
131	546	7733
132	551	7743
133	560	7809
134	563	7785
135	565	7753
136	566	7707
137	568	7672
138	576	7712
139	578	7688
140	580	7653
141	582	7620
142	584	7585
143	586	7564
144	589	7536
145	591	7508
146	593	7482
147	595	7454
148	598	7440
149	601	7414
150	604	7399
151	606	7374
152	609	7359
153	612	7347
154	614	7318
155	616	7288
156	629	7385
157	636	7419
158	640	7411
159	643	7403
160	646	7385
161	649	7367
162	652	7349
163	654	7323
164	658	7318
165	668	7385
166	671	7372
167	673	7348
168	676	7332
169	680	7326
170	682	7301
171	686	7291
172	688	7274
173	691	7254
174	693	7229
175	695	7209
176	697	7184
177	700	7168
178	702	7150
179	704	7127
180	706	7104
181	708	7081
182	710	7056
